Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MATH 1302,College Algebra,[None],[None],required
MATH 1402,Pre-Calculus,MATH 1302,[None],required
MATH 1426,Calculus I,MATH 1402,[None],required
MATH 2425,Calculus II,MATH 1426,[None],required
MATH 2326,Calculus III,MATH 2425,[None],required
PHYS 1443,General Technical Physics I,MATH 1426,[None],required
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None],required
ENGL 1301,Rhetoric and Composition I,[None],[None],required
COMS 2302,Professional and Technical Communication,ENGL 1301,[None],required
POLS 2311,Government of the US,[None],[None],required
POLS 2312,State and Local Government,[None],[None],required
HIST 13XX,U.S. History Elective,[None],[None],required
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None],required
UNIV 1131,Student Success,[None],[None],required
IE 2308,Economics for Engineers,[None],[None],required
IE 3301,Engineering Probability,MATH 2425,[None],required
CSE 1106,Introduction to Computer Science and Engineering,CSE 1310,[None],required
CSE 1310,Introduction to Computers and Programming,[None],[None],required
CSE 1320,Intermediate Programming,CSE 1310,[None],required
CSE 1325,Object-Oriented Programming,CSE 1320,[None],required
CSE 2312,Computer Organization and Assembly Language Programming,"CSE 1320, CSE 1106",[None],required
CSE 2315,Discrete Structures,CSE 1310,[None],required
CSE 3302,Programming Languages,"CSE 2312, CSE 1325, CSE 3318",[None],required
CSE 3310,Fundamentals of Software Engineering,"CSE 1320, CSE 1325, CSE 2315",[None],required
CSE 3314,Professional Practices,"CSE 3318, COMS 2302",[None],required
CSE 3315,Theoretical Concepts in Computer Science and Engineering,CSE 2315,[None],required
CSE 3318,Algorithms and Data Structures,"CSE 1320, CSE 2315",[None],required
CSE 3320,Operating Systems,CSE 2312,[None],required
CSE 3330,Database Systems and File Structures,"CSE 1325, CSE 3318",[None],required
CSE 3380,Linear Algebra for CSE,CSE 2315,[None],required
CSE 4308,Artificial Intelligence,"IE 3301, CSE 3318",[None],required
CSE 4316,Computer System Design Project I,"CSE 3310, CSE 3320, CSE 3314",[None],required
CSE 4317,Computer System Design Project II,CSE 4316,[None],required
CSE 4344,Computer Network Organization,CSE 3320,[None],required
CSE 2440,Circuit Analysis,"PHYS 1444, MATH 2425",[None],elective
CSE 2441,Digital Logic Design I,"CSE 1320, CSE 2315",[None],elective
CSE 3442,Embedded Systems I,"CSE 2312, CSE 2440, CSE 2441",[None],elective
CSE 4303,Computer Graphics,"CSE 3380, CSE 3318",[None],elective
CSE 4305,Compilers for Algorithmic Languages,"CSE 3302, CSE 3315",[None],elective
CSE 4360,Autonomous Robot Design and Programming,"CSE 3380, CSE 3318, CSE 3320",[None],elective
CSE 4380,Information Security,CSE 3320,[None],elective
CSE 4381,Information Security II,"CSE 4344, CSE 3320",[None],elective
CSE 4382,Secure Programming,CSE 3320,[None],elective
CSE 3311,Object-Oriented Software Engineering,"CSE 3310, CSE 3318",[None],elective
CSE 3313,Introduction to Signal Processing,"CSE 3380, CSE 3318",[None],elective
CSE 3323,Electronics,CSE 2440,[None],elective
CSE 3340,Introduction to Human Computer Interaction,"CSE 3310, CSE 3318",[None],elective
CSE 3341,Digital Logic Design II,CSE 2441,[None],elective
CSE 4304,Game Design and Development,CSE 3380,[None],elective
CSE 4309,Fundamentals of Machine Learning,"IE 3301, CSE 3318, CSE 3380, MATH 2326",[None],elective
CSE 4310,Fundamentals of Computer Vision,"IE 3301, CSE 3318, CSE 3380",[None],elective
CSE 4311,Neural Networks and Deep Learning,"IE 3301, CSE 3380",[None],elective
CSE 4314,Professional Practices (Senior),CSE 3314,[None],elective
CSE 4321,Software Testing and Maintenance,CSE 3310,[None],elective
CSE 4322,Software Project Management,CSE 3310,[None],elective
CSE 4323,Quantitative Computer Architecture,CSE 3320,[None],elective
CSE 4331,Database Implementation and Theory,CSE 3330,[None],elective
CSE 4333,Cloud Computing Fundamentals and Applications,"CSE 3320, CSE 3330",[None],elective
CSE 4334,Data Mining,"IE 3301, CSE 3330",[None],elective
CSE 4340,Fundamentals of Wireless Networks,"CSE 4352, CSE 4344",[None],elective
CSE 4342,Embedded Systems II,"CSE 3442, CSE 3323, CSE 3313",[None],elective
CSE 4345,Computational Methods,"IE 3301, CSE 3318, CSE 3380",[None],elective
CSE 4351,Parallel Processing,CSE 3320,[None],elective
CSE 4352,IoT and Networking,CSE 3442,[None],elective
CSE 4354,Real-Time Operating Systems,"CSE 3442, CSE 3320",[None],elective
CSE 4355,Electromechanical Systems and Sensors,"CSE 3442, CSE 3323",[None],elective
CSE 4356,System on Chip Design,CSE 3442,[None],elective
CSE 4358,Microprocessor Systems,CSE 3442,[None],elective
CSE 4361,Software Design Patterns,CSE 3311,[None],elective
CSE 4372,RISC Processor Design,CSE 3442,[None],elective
CSE 4373,General Purpose GPU Programming,CSE 3320,[None],elective
CSE 4376,Digital Communication Systems,CSE 3313,[None],elective
CSE 4377,Wireless Communication Systems,"CSE 3442, CSE 3313",[None],elective
CSE 4378,Introduction to Unmanned Vehicle Systems,CSE 3310,[None],elective
CSE 4379,Unmanned Vehicle System Development,CSE 4378,[None],elective
CSE 43XX,CSE Technical Elective (1),[None],[None],required
CSE 43XX,CSE Technical Elective (2),[None],[None],required
CSE 43XX,CSE Technical Elective (3),[None],[None],required
CSE 43XX,CSE Technical Elective (4),[None],[None],required
CSE 43XX,CSE Technical Elective (5),[None],[None],required
CSE 43XX,Graphics/Compilers/Robotics Elective (choose CSE 4303 or 4305 or 4360),[None],[None],required
CSE 43XX,Security Elective (choose CSE 4380 or 4381 or 4382),[None],[None],required
LPC XXXX,Language Philosophy and Culture Elective,[None],[None],required
CA XXXX,Creative Arts Elective,[None],[None],required
